№ пп;Наименование  ;Группа товаров;Ед. изм. ;Количество; Цена за ед.изм., руб. РФ без учета НДС;Местонахождение;Сссылка на сайт размещения;Группа
1;Барабан натяжной 10063-100;Запасные части к автомобилям/спецтехнике;шт;1;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";https://www.avito.ru/novokuznetsk/oborudovanie_dlya_biznesa/baraban_natyazhnoyprivodnoy_3939629962;Реализация ТМЦ
2;Барабан натяжной 10080-80;Запасные части к автомобилям/спецтехнике;шт;3;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";https://www.avito.ru/novokuznetsk/oborudovanie_dlya_biznesa/baraban_natyazhnoyprivodnoy_3939629962;Реализация ТМЦ
3;Барабан приводной 100100ф-180;Запасные части к автомобилям/спецтехнике;шт;3;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";https://www.avito.ru/novokuznetsk/oborudovanie_dlya_biznesa/baraban_natyazhnoyprivodnoy_3939629962;Реализация ТМЦ
4;Блок управления классификатора JD1A-40;Приборы КИП и комплектующие;шт;1;7 474,58;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
5;Бронзовая втулка оси ролика 331294;Комплектующие к ДСК,  конвейерам (ролики, роликоопоры);шт;12;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
6;Вал подшипникового узла;Подшипники;шт;1;3 500,00;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
7;Вал подшипникового узла (для ВК-273);Подшипники;к-т;1;2 046,62;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
8;Вентиль G1/4 2839 1/4;Запорная арматура (задвижки, клапаны);шт;8;154,43;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
9;Винтовой конвейер ВК-273-4860-ТЛ-С – угол наклона 35 гр. ;Комплектующие к ДСК,  конвейерам (ролики, роликоопоры);шт;1;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";https://www.avito.ru/novokuznetsk/oborudovanie_dlya_biznesa/baraban_natyazhnoyprivodnoy_3939629962;Реализация ТМЦ
10;Конвейер винтовой ВК-273-6000-ТЛ-С – угол наклона 35 гр.;Комплектующие к ДСК,  конвейерам (ролики, роликоопоры);шт;1;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";https://www.avito.ru/novokuznetsk/oborudovanie_dlya_biznesa/baraban_natyazhnoyprivodnoy_3939629962;Реализация ТМЦ
11;Вкладыш (износостойкая втулка TGM 160-115-18);Запасные части к автомобилям/спецтехнике;шт;12;450,79;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
12;Вкладыш п/э 160*280;Упаковочные материалы (бирки, ленты);шт;1955;60,52;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
13;Вкладыш-сетка фильтрующая из нерж. стали 0,10мм;Сменные комплектующие (ножи, плиты, сита);шт;1;701,4;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
14;Гайка крепления рабочего колеса ч. 331291;Метизы;шт;1;750,31;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
15;ГТР 46-14-ЗСП к бульдозеру Т-330;Запасные части к спецтехнике;шт;1;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
16;Двигатель WM-D90/90-2/1K5 220-240/380-415B;Электродвигатели и комлектующие;шт;1;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/elektrodvigateli_v_assortimente_2852772792;Реализация ТМЦ
17;Задвижка 30ч6бр ДУ 250;Запорная арматура (задвижки, клапаны);шт;2;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
18;Кольцо ступенчатое TGM 160;Запасные части к автомобилям/спецтехнике;шт;1;87 784,75;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
19;Лопатка сепаратора ч. 331293;Нестандартное оборудование по чертежам;шт;100;320,69;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
20;Манжета армированная 1.2-110*140;РТИ, РВД, АТИ;шт;14;43,43;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
